iter	Passed	Remaining
0	35	35029
1	49	24528
2	56	18916
3	63	15867
4	71	14134
5	78	12938
6	84	12049
7	91	11346
8	98	10818
9	104	10377
10	111	10006
11	117	9710
12	124	9445
13	130	9213
14	137	9043
15	144	8862
16	150	8718
17	157	8588
18	163	8459
19	170	8359
20	177	8266
21	184	8219
22	192	8163
23	199	8109
24	209	8174
25	218	8181
26	225	8141
27	232	8076
28	239	8004
29	246	7960
30	253	7908
31	259	7863
32	266	7820
33	274	7793
34	281	7754
35	288	7734
36	295	7695
37	302	7658
38	309	7628
39	316	7602
40	323	7570
41	330	7543
42	338	7523
43	345	7516
44	354	7514
45	362	7510
46	370	7507
47	378	7507
48	386	7505
49	394	7496
50	403	7502
51	411	7495
52	418	7470
53	425	7458
54	433	7449
55	440	7425
56	453	7501
57	461	7493
58	469	7487
59	477	7473
60	484	7465
61	492	7446
62	499	7436
63	508	7430
64	517	7441
65	526	7446
66	534	7437
67	542	7431
68	550	7424
69	558	7419
70	566	7418
71	574	7410
72	583	7407
73	591	7405
74	600	7402
75	609	7404
76	618	7408
77	626	7406
78	634	7401
79	643	7404
80	652	7407
81	661	7403
82	669	7398
83	678	7395
84	689	7425
85	697	7411
86	705	7408
87	715	7413
88	723	7409
89	733	7413
90	741	7403
91	748	7390
92	757	7388
93	764	7371
94	771	7350
95	778	7331
96	785	7314
97	792	7292
98	799	7276
99	806	7256
100	812	7236
101	819	7215
102	826	7197
103	833	7179
104	840	7161
105	847	7146
106	855	7140
107	863	7134
108	871	7125
109	878	7111
110	885	7093
111	893	7082
112	901	7076
113	908	7061
114	916	7055
115	925	7052
116	937	7072
117	944	7061
118	952	7054
119	960	7040
120	968	7033
121	976	7024
122	984	7018
123	992	7009
124	1000	7001
125	1008	6993
126	1015	6982
127	1023	6972
128	1030	6955
129	1036	6938
130	1043	6923
131	1050	6907
132	1057	6891
133	1064	6877
134	1071	6865
135	1078	6851
136	1086	6845
137	1094	6835
138	1102	6830
139	1110	6820
140	1118	6811
141	1126	6805
142	1134	6798
143	1141	6788
144	1149	6779
145	1157	6773
146	1168	6780
147	1176	6775
148	1185	6772
149	1193	6762
150	1202	6763
151	1211	6758
152	1219	6750
153	1227	6742
154	1234	6732
155	1244	6733
156	1252	6723
157	1259	6714
158	1267	6704
159	1275	6694
160	1282	6684
161	1289	6672
162	1297	6663
163	1305	6653
164	1312	6643
165	1320	6633
166	1327	6623
167	1335	6613
168	1343	6606
169	1350	6595
170	1358	6585
171	1366	6577
172	1374	6572
173	1382	6564
174	1390	6554
175	1397	6542
176	1409	6551
177	1416	6540
178	1423	6528
179	1430	6518
180	1438	6510
181	1448	6508
182	1455	6499
183	1464	6495
184	1473	6491
185	1481	6483
186	1488	6473
187	1498	6471
188	1506	6462
189	1513	6452
190	1521	6446
191	1529	6438
192	1539	6437
193	1547	6431
194	1555	6421
195	1564	6418
196	1573	6411
197	1582	6408
198	1590	6400
199	1599	6396
200	1607	6390
201	1615	6381
202	1625	6380
203	1632	6371
204	1639	6359
205	1650	6362
206	1659	6355
207	1666	6346
208	1674	6336
209	1681	6326
210	1689	6316
211	1696	6307
212	1704	6299
213	1712	6290
214	1720	6280
215	1727	6271
216	1735	6262
217	1743	6253
218	1750	6244
219	1758	6235
220	1766	6227
221	1774	6218
222	1782	6209
223	1789	6200
224	1796	6188
225	1803	6176
226	1810	6164
227	1817	6152
228	1824	6141
229	1830	6128
230	1837	6116
231	1844	6105
232	1851	6095
233	1859	6086
234	1868	6081
235	1876	6075
236	1889	6081
237	1896	6073
238	1904	6064
239	1912	6055
240	1919	6046
241	1927	6037
242	1935	6030
243	1942	6019
244	1951	6013
245	1959	6004
246	1967	5996
247	1975	5989
248	1983	5983
249	1991	5973
250	1998	5964
251	2006	5956
252	2014	5947
253	2022	5939
254	2030	5931
255	2038	5925
256	2046	5917
257	2054	5908
258	2062	5900
259	2069	5889
260	2076	5878
261	2083	5869
262	2091	5861
263	2099	5854
264	2107	5846
265	2116	5838
266	2127	5840
267	2134	5831
268	2142	5823
269	2151	5815
270	2158	5807
271	2167	5800
272	2175	5793
273	2183	5784
274	2191	5777
275	2198	5768
276	2207	5760
277	2214	5752
278	2222	5743
279	2229	5734
280	2237	5724
281	2243	5712
282	2250	5702
283	2258	5695
284	2266	5686
285	2273	5676
286	2281	5667
287	2288	5657
288	2296	5649
289	2304	5640
290	2312	5634
291	2321	5628
292	2329	5620
293	2337	5613
294	2346	5607
295	2354	5600
296	2367	5603
297	2377	5600
298	2386	5595
299	2397	5593
300	2407	5590
301	2416	5585
302	2426	5581
303	2436	5578
304	2446	5575
305	2456	5570
306	2464	5562
307	2473	5558
